,hash,message,time,buggy
0,c700ab9,Modifs to pass with abiref_nag_6.2_openmpi : modif nstep for libxc#72  prevent testing paral#25&30   fix problem with shape mismatch for mpiio#42.,2018-02-14T13:11:06,1
1,436ea4d,Fixed run-time errors caused by the PSML 1.0 -> 1.1 API change,2018-02-21T16:07:03,1
2,e99b0e2,Fixed run-time errors caused by the PSML 1.0 -> 1.1 API change,2018-02-21T16:07:03,1
3,3dc7c9c,Corrected argument declarations in thmeig.,2017-07-13T11:58:15,1
4,ecc438f,kinetic energy bug for rfmagn resolved,2017-11-19T10:45:45,1
5,9991c6e,Post-merge correction,2016-12-08T11:25:59,1
6,0165f0e,Fix problems in binaries.conf   also update files for v8.3.3,2017-04-12T11:24:07,1
7,e248927,Capture incorrect topic and tribe in input variables. Also minor style correction .,2017-08-10T14:14:17,1
8,9637b5a,Forgot the ABI_DEALLOCATEs and Robodoc messed up. Hopefully  this is fixed now.,2016-12-08T08:32:11,1
9,26cb900,Fix silly mistake  due to incomplete use of grchempottn  liked with gradual implementation of its use.,2017-03-05T23:30:53,1
10,898720a,debug mpi scatter,2017-12-11T13:18:19,1
11,fca7389,Bug when paral_kgb 1 for NC : enl is incomplete,2016-10-28T15:52:14,1
12,db159c9,fix cut3d atomic charges and spinat direction for v5/16,2018-02-15T12:29:57,1
13,c56c3ca,Fix 'Character length of actual argument shorter than of dummy argument',2017-12-19T04:26:34,1
14,1bfd83a,This to avoid a bug in xmpi_sum_master with mpich3-3.1.3 that triggers SIGFPE,2016-11-30T13:55:50,1
15,0fe1e8c,Fix 'Same actual argument associated with INTENT' like in v8.7,2017-12-19T03:59:29,1
16,73028a8,fixed dimension of 1st order potential,2017-04-05T13:30:13,1
17,2425c7d,Correction of pawmkrho call for bigdft,2018-04-20T13:27:32,1
18,85b095a,Fixed some conflict with the trunk.,2016-09-26T16:29:24,1
19,918d4ff,Fixed argument declaration in v1r_long_range.,2017-06-12T13:26:12,1
20,407d48d,Fixed some conflict with the trunk.,2016-09-26T14:26:38,1
21,efc8822,Correct the order of pseudopotentials in input files for v8#30 and 31,2017-03-08T10:22:32,1
22,6538e2f,Fixed reading 3rd order derivatives.,2017-07-11T22:15:31,1
23,c735bfa,Correction of term eHXc21_nhat which now depends on usexcnhat,2017-06-21T09:52:22,1
24,c22d403,debug on farmtest,2017-11-06T10:34:46,1
25,a75a1ca,debug nfixcoeff in m_fitpolynome,2017-10-31T09:43:38,1
26,e45ce16,debug when nctime==0,2018-02-19T12:04:40,1
27,dc0d733,debug state,2017-11-06T08:28:04,1
28,4f707c1,Add correct double counting for usepawu=4.,2018-03-21T16:22:23,1
29,85025af,fix depends for macrcoave bigDFT fallback no more actived by default,2017-05-18T10:13:27,1
30,fe78f37,Fix incorrect directories or other typos.,2018-03-16T11:22:36,1
31,2be541a,Fixed ELPA2016 detection issue found thanks to EasyBuild,2017-05-30T17:38:18,1
32,a0930b3,Fix incorrect filter in check_kxc (my fault)  adjust tolerance for Tv7#94,2017-05-02T13:03:53,1
33,b0e2d1c,merge fix with latest Sergei's branch,2018-01-12T15:24:42,1
34,b058509,Temporary implementation of full 1wf output. Fixed mrggkk_nc,2018-04-03T11:35:15,1
35,8806c64,Correct links to vardmft and varbse in the tutorials.,2017-06-27T21:33:54,1
36,0f0e002,Fixed the translation vector L0 used in v1phq_complete,2017-10-05T18:24:07,1
37,53ea4a6,Fixed failing 'make distcheck',2018-06-22T11:37:55,1
38,3b24460,output renaming fixed,2017-11-03T13:23:41,1
39,10ec0dc,debug bound process,2017-11-28T15:33:54,1
40,0df3dd9,debug bound process,2017-12-05T10:48:44,1
41,f3b45ae,Fixed ntypat in anaddb.,2017-07-14T17:58:46,1
42,8acdeac,fixed v6[19] - integration error is quite bad for core charge  so tolerance is increased to 0.1,2016-09-06T11:59:52,1
43,0b8690b,Try to fix SIGFPE in [paral][t95_MPI10][np=10] @ abiref_gnu_5.3_openmpi,2016-12-17T19:13:34,1
44,474dd63,Bug with large number of atoms ...,2017-12-06T08:33:14,1
45,aacb305,fixed input varibales docs,2017-04-04T14:57:17,1
46,6eb9d58,backport of Boltztrap fix of default energy window for DOS,2017-05-25T22:46:03,1
47,f230330,multibinit: bugs fixed for strain-coupling,2016-12-13T10:11:21,1
48,c82e60b,Fixed reading ntypat.,2017-07-09T15:45:32,1
49,9339ec6,The correction to be applied to the ZPR  due to missing q=0 volume  is computed.,2018-06-12T17:34:10,1
50,41de37b,Yet another bug in abilint,2017-05-26T16:21:54,1
51,4e2f881,Correct doc inside v7#81 and 82 input files,2018-04-29T22:06:35,1
52,cd3f1bd,Backport doc fixes from v8.9.2 .,2018-05-30T17:41:30,1
53,a90d329,fixed conflict,2016-09-09T11:24:11,1
54,bc3bbef,"Correct the numbering in the ""installation notes"" for v8.4 and 8.6.",2017-10-11T10:56:58,1
55,8a93390,Fix deadlock in SIGMAEPH output if np > 1 and HDF5+MPI-IO,2018-05-01T21:05:11,1
56,b725656,Bug in fold2bloch on my desktop and HPC,2016-12-13T11:08:08,1
57,611c562,Hopeless attempt to evince the cause of the bug.,2017-07-14T14:10:35,1
58,9334b54,Fix wrong displayed value of Fock fraction when using customized hyb_mixing(_sr),2018-03-08T00:34:42,1
59,93a83bc,Fix varfile=>varset in generated_doc.py  and apply it,2017-07-28T07:51:11,1
60,a55484d,test reference corrections for PAW Fock stresses,2017-10-25T15:00:38,1
61,a0eb760,A bug (only printing) has been magically corrected  update ref files,2016-11-23T10:26:46,1
62,2ddeadf,Fixed missing dependency of macroave on 44_abitools,2018-06-20T22:08:42,1
63,f22be08,multibinit: debug fit process,2017-05-24T11:23:18,1
64,dcfd7ac,Fixed undeclared dependency of mrggkk,2018-06-20T18:38:26,1
65,9f309d7,Correction in magnetization rotation (DFPT+PAW),2017-11-15T12:13:22,1
66,f7d1f2b,Fix command line interface for fold2bloch,2017-07-12T15:30:23,1
67,91a78a2,Fix memory leak. v8_t57 not to be executed on IBM8 (no NetCDF).,2018-06-09T14:57:07,1
68,9d7a0d1,Correct occopt restriction for nonlinear,2018-05-04T11:35:32,1
69,193b707,Misc corrections,2018-06-11T13:42:03,1
70,263c2dc,Set up final test. Also found one bug. Not yet working.,2017-11-17T15:28:55,1
71,371e3c7,Memory leak fixed,2016-10-31T14:06:57,1
72,8d22dec,Try to fix the problem with Tbuildsys#40 (/bin/sh: configure: command not found) modified:   check-libpaw.py,2016-07-02T22:37:01,1
73,cd2fad6,Bug correction in 67_common/setvtr.F90 for constrained mag. moments  the loop on ispden was from 2-->4 instead of 1-->4 (line 616). This does not affect the automatic tests.,2017-11-25T21:03:40,1
74,bcc1b83,Fixed missing dependency of 44_abitools on netcdf,2018-06-20T21:43:53,1
75,c452d3d,Fix build example reference file for buda2_gnu_8.1,2018-06-18T19:08:36,1
76,8191c93,Most of the links to help_anaddb.html#XXX are now correct.,2017-07-30T19:16:37,1
77,7a88a80,Merged 29_linalg into 28_numeric_noabirule to fix circular dependencies,2018-06-20T17:11:11,1
78,365ee05,Continue to fix bugs in script  or in old html files ...,2017-07-17T21:49:19,1
79,600b500,fix typo for buildsys check,2017-01-22T12:01:02,1
80,3933081.0,correct dev cpp var name,2018-05-03T23:02:36,1
81,b833997,Fix typo	modified:   57_iovars/invars1.F90,2016-08-21T06:50:54,1
82,04da739,Fix typo in scfcv.f90,2017-03-07T08:56:02,1
83,b23bb36,Fix typo in outvars related to prtefmas,2018-05-20T06:36:04,1
84,e057bf6,Fixed CPP options,2016-08-26T10:47:35,1
85,c7b2787,Correct declaration of nhat in dfpt_scfcv (used only for ipert=natom+3 +4 (stress) ),2016-12-13T16:17:33,1
86,352bcf1,multibinit: quick fixes in the reading of the XML with fortran,2017-05-24T15:58:47,1
87,1f91912,Fix the problem in plot_bs.py script  as well as address of this script in tdepes.md file.,2018-03-23T07:57:21,1
88,83419de,Fixed a test.,2017-07-08T19:35:06,1
89,825532d,Fix invalid escape seq in py string,2018-03-05T23:36:25,1
90,a82d951,Minor fixes  now compile.,2017-11-17T10:21:08,1
91,bc2f29b,Write a2ftr to EPH.nc  add autoparal section in eph  fix bug in call to complete_gamma if nsppol=2,2017-11-25T13:27:07,1
92,e444775,libxc#51 input file (PBE0) : fix doc and also value,2017-05-01T13:47:40,1
93,b95cc8b,fix auto test v8/t16,2018-05-31T17:18:20,1
94,41ba523,Minor fixes  after merge with François.,2017-07-20T17:51:37,1
95,fff16f3,Change tolms to tolkms   also fix problem with input mpiio#26,2017-06-05T16:15:46,1
96,ee9ed95,Fixed the k-point parallelism in eph_gkk.,2016-09-23T16:34:15,1
97,974116a,Still one fix of incorrect switch  for xyzfile variable.,2017-06-23T06:25:16,1
98,5a1368b,Extract invariant to avoid internal compiler error with intel2013_sp1.1.106,2017-07-19T20:34:17,1
99,aa9d3d5,cplex=2 further modifications for phonons and magnetic field  spinalign flag  ek0 fix to vefiy (wf filtering is not properly working  problem with parallelization for rfmagn),2017-11-12T14:42:02,1
100,e564d47,Fixed eph with kptopt 0,2018-04-04T10:37:28,1
101,6a235bb,Try to fix portability issue,2017-11-16T08:31:36,1
102,f9777fa,Fix more 'CHARACTER expression will be truncated in assignment',2017-12-19T04:18:44,1
103,998c32d,Fix compile problem ELPA. Progress in the def of test libxc#72,2017-10-19T15:54:05,1
104,5a5732a,Correct subscript out of range (detected by NAG 6.2),2018-02-14T21:07:36,1
105,dc0e7da,Correct the term involving the derivative of lagrange multipliers,2016-09-21T16:05:47,1
106,97c2c03,Fix newtopic to topic.,2017-07-06T10:31:50,1
107,69ebb82,Fix wrong bantot passed to ebands_init in dfpt_loopert (prtgkk  ieig2rf),2016-12-12T22:38:46,1
108,4e8217b,fix ref file for v2/15,2016-12-07T13:35:36,1
109,ab3ead5,Fix doc  hyb_range input variables,2018-04-19T11:38:36,1
110,8b6039c,Correct the place for list_topics_class.yml,2017-07-11T10:35:11,1
111,1c4e235,Ok on my local laptop and should fix many bots,2016-11-09T18:47:04,1
112,383123b,Correct condition for dmft_dc is usepawu 14,2017-09-27T15:22:11,1
113,f324e66,Correct the topic_class and topic_name for xyzfile (they had been switched),2017-06-23T05:50:39,1
114,758a08f,Correct inlinde ABI_ALLOCATE statement,2017-11-03T06:20:34,1
115,e2aba47,fix for new NAG 6.2 ( from MT ),2017-12-08T11:10:51,1
116,e0f8cef,fix broken gwfockmix support,2017-06-15T21:51:45,1
117,3.374e+90,Correct dimension of becij in d2frnl,2017-02-03T13:06:26,1
118,83ba019,Correct allocation in getgsc when usecprj=0,2018-04-30T10:37:04,1
119,56e4218,Correct dfptnl_pert.F90 for parallel computations,2016-10-25T13:24:24,1
120,3f05d30,Correct the args of hartre in respfn,2017-09-27T14:23:13,1
121,55963b7,"Revert ""Quick fix to get around occasional FFT mesh errors for HF and hybrid-functional calculations""",2016-11-16T01:24:39,1
122,679afe8,Correct bugs in dfptnl_pert (wrong use of rf2_apply_ham) and dfptnl_loop (core densities),2016-12-30T13:52:25,1
123,39cd889,correct directories in w90 tutorial from Nick Pike,2016-11-28T11:21:10,1
124,591c3b9,Correct the atom ordering in a test of getgh2c,2017-09-05T13:24:47,1
125,e48bdf3,Improve comment. Fix equation in lesson_tdepes.,2017-07-25T10:25:42,1
126,231d9e6,Prepare correct links to varanaddb,2017-07-29T11:54:23,1
127,4f4c7a0,Correct bugs due to merge (rhotoxc),2017-10-11T13:26:52,1
128,44231a0,Quick fix to get around occasional FFT mesh errors for HF and hybrid-functional calculations,2016-11-16T01:15:24,1
129,f86889a,Fixed the last memory leak problem...I think.,2016-10-06T18:40:00,1
130,fc274d7,Correction of paw_dfptnl_accrhoij terms involving S^1 and nhat21 in dfptnl_pert,2017-03-09T15:11:48,1
131,9d35cb8,Fix outdated doc for vdw_xc,2017-06-27T21:25:30,1
132,8a8106e,Correct the position of densfor_pred in the echo .,2017-05-02T12:39:23,1
133,1fad9ee,bug corrections for stresses in the Fock context: Stresses in PAW now work and parallel calculations also,2017-10-19T15:07:52,1
134,8c9e3eb,Fix remaining read(std_in  *),2016-09-21T16:41:00,1
135,31a3a6d,Fix internal links  remove site_url in mkdocs.yml,2018-03-03T17:04:37,1
136,6d6911e,Correct a term in paw_dfptnl_energy,2017-09-05T11:24:47,1
137,951c596,multibinit: add option in order to fix some coeff in the fit process,2017-06-06T12:24:01,1
138,3447844.0,Fix problems due to prior suppression of unused args,2018-02-14T12:37:38,1
139,206f110,Fix typos and incoherencies in the doc  related to densfor_pred .,2017-05-02T08:52:40,1
140,c42bc37,Fix doc for hyb_mixing variables.,2018-04-19T11:36:48,1
141,adb5741,Fix non-removed args,2018-02-22T08:38:42,1
142,29d3939,Correct selected rf2-directions when prepanl/=0,2017-04-10T14:47:56,1
143,3172d85,fix dimension of atmfrc in 80/m_tdep_abitype,2017-10-18T09:42:15,1
144,0d14638,fix dimension in atmfrc array,2017-09-19T12:35:15,1
145,e29488c,Fix problems with the doc of chkdilatmx  and ROBODOC.,2017-10-09T16:00:07,1
146,a19cd1d,small fix in fit process (remove coeffs supperior to 1E10),2017-07-05T09:27:39,1
147,aca2828,Fix allocation problems of cprj's. Update test v7#71. A clear speed up is now observed with wfmix 1.3  PAW case.,2017-12-28T09:13:23,1
148,50cf4b5,fix netcdf call when doesn't have netcdf,2018-05-31T20:44:41,1
149,ce41d53,multibinit: quick fix after the merge of the trunk,2017-05-11T14:56:55,1
150,938aa37,Miscellaneous fixes.,2018-03-18T21:45:11,1
151,2e9939e,Fix problem with the indices in src/66_wfs/lincom_cgcprj.F90. Check is now working.,2017-12-26T07:22:40,1
152,f3350fb,Fix incorrect args of hartre,2017-09-27T08:39:28,1
153,9c9bde2,Fix incorrect mpiio#t26.in,2017-06-05T19:04:52,1
154,776a27c,This should fix the SIGFPE when nband_k != mband,2016-12-12T21:27:59,1
155,7603baa,Fix misplaced endif,2017-04-19T12:00:12,1
156,87f7eb7,Fix invalid escape sequence,2018-03-13T00:40:12,1
157,0a0bd8a,Rename theory_XXX.yml to theorydoc_XXX  and also fix numerous links.,2017-07-19T13:59:58,1
158,67cc9a3,Imported fix for Intel 16 compiler  from Jordan. modified:   m_BathOperator.F90,2016-07-09T16:34:30,1
159,141bd1a,Some fixes in invars/outvars related to rf2 developments,2016-11-25T15:28:31,1
160,9.2e+38,Fixed glitch in psp9in,2018-02-23T14:28:16,1
161,0fb6b34,Fixed thmeig,2017-07-12T09:42:57,1
162,c1fc835,Fix a bug for kpt=0 0 0 Add non local energy for NC calculations -> not tested !,2016-10-27T14:05:38,1
163,e0ba4e9,Small correction in dfpt_looppert.F90,2017-04-19T14:08:00,1
164,585b1ba,Fix end marker. Modified:   45_geomoptim/m_lbfgs.F90,2016-12-13T08:47:17,1
165,76cc798,Fix problems with tdepes tutorial and Samuel's script.,2018-03-23T10:27:37,1
166,c14815f,Fix problem with the shifts   use norm conserving for test libxc#72,2017-10-20T13:06:01,1
167,e5ffa87,Fix links in topics dir,2017-07-20T13:04:33,1
168,5ad515f,Fix links in users dir,2017-07-20T09:54:43,1
169,53631ce,Had to fix newline issue in abinit_vars.yml (I'm using the GUI with java version 1.8.0_72),2016-11-19T13:20:09,1
170,89956c6,Shorten and fix some links,2017-08-05T16:11:49,1
171,878cfb7,Fix recognition of links,2017-08-07T12:09:51,1
172,5ecc5d9,Continue to fix links  in tutorial and theory,2017-07-20T10:47:47,1
173,fb7e450,Again fix a minor problem  and regenate vargs.html modified:   abinit_vars.yml  html_automatically_generated/vargs.html,2016-08-15T22:27:43,1
174,15db058,Continue to correct links.,2018-03-26T22:24:04,1
175,d8fc3a7,finalize_html is used to generate the all_topics file  and fix one problem.,2017-07-16T18:29:02,1
176,246774e,Correction of merge errors,2016-11-16T15:21:25,1
177,905f54c,Fix autoparal in eph,2017-11-27T14:03:56,1
178,21f16f6,Fix by Matthieu of the problem https://forum.abinit.org/viewtopic.php?f=10&t=3872,2018-06-20T22:23:45,1
179,f800011,Fix conflict inside KNOWN_PROBLEMS,2017-06-09T19:37:21,1
180,9b418c4,Fix many links. Also other minor modifications.,2017-07-16T09:18:11,1
181,55e878b,Fix links  problems detected with linkchecker.,2017-07-31T13:50:45,1
182,d3465aa,Debug,2017-11-06T08:59:36,1
183,2cdae42,Debug,2017-11-06T08:43:16,1
184,341a714,Correction on a pointer to please ifort13,2016-11-17T15:26:36,1
185,60d0038,Correction of enl_ptr in getgh2c,2017-04-07T10:42:04,1
186,63a3c44,Correction in getgh2c,2017-03-07T11:12:44,1
187,970464.0,Chane (temporarily) the ref for abirules#10  in order to have Jean-Michel fix a small issue.,2017-11-11T07:13:54,1
188,ee68d4d,Fix minor issues  so that abinit compiles.,2017-12-31T09:37:59,1
189,22ea073,Fixed a bug in ElectronPhononCoupling affecting MPI runs.,2017-05-06T00:45:39,1
190,370776f,Fix the last problem detected by linkchecker in v8.4.4,2017-09-17T21:18:50,1
191,bc023a6,Suppress the old playgrounds. Also fix minor issues.,2017-07-05T23:19:59,1
192,f280564,Update ref files due to fix of smdelta problem,2018-06-08T22:24:34,1
193,479b633,Fix links in turtorial dir,2017-07-20T09:19:08,1
194,f350031,Correct links in cRPA tutorial,2016-12-16T16:06:22,1
195,36e6ab8,Fix merge.. I hope,2017-01-04T13:31:24,1
196,75c7551,Fix merge,2018-02-05T06:47:50,1
