,hash,message,time,buggy
0,f393bbf3,DRR - Cpptraj: Fix bug where reference topology was not being correctly set for 'rms perres'. Also add some debug info which can be used to help diagnose any future issues with the masks. This should be incorporated into the AT15 release if possible.,2015-04-01 10:06:32,1
1,b23e0fa9,DRR - Cpptraj: NOE data will now be associated with DataSet_double if necessary (could also be assocated with any other data set now). Fix up append functionality in DataSet_double and DataSet_string.,2015-07-31 09:58:02,1
2,00c72a4a,DRR - Cpptraj: Fix implicit conversion of int to size_t. Not technically a problem since it gets converted back to int in ClusterSieve  but better to be correct and consistent.,2016-06-21 10:53:41,1
3,5af6a009,DRR - Cpptraj: Fix ordering of dacdif args. Modify NcTest so args are passed to DoTest,2016-02-24 12:39:34,1
4,f51ca9db,DRR - Cpptraj: Fix up virtual function definitions. Add function to return unit cell matrix.,2014-11-23 16:33:13,1
5,1dbb85db,DRR - Cpptraj: Fix column width in standard data output when no x column and label is long to prevent label truncation.,2016-02-10 09:16:44,1
6,39bfc540,DRR - Cpptraj: Replace FinalSoluteResidue() function in Topology. Fix actions that used to use it so systems that have solute-solvent-solute etc are now correctly handled.,2014-10-24 13:53:23,1
7,d2268826,DRR - Cpptraj: Fix ensemble trajectory timing for RunEnsemble. Add 'Other' run timing category and make Time_Summary const.,2016-01-29 15:09:57,1
8,b582b496,DRR - Cpptraj: Make ensembleComm split for no ensemble mode again consistent with ngroups == 1 and fix masterComm split. Add '==' operator.,2018-03-05 11:30:42,1
9,75d11da5,DRR - Cpptraj: Fix initialization of coords and charge arrays for libpme. Actually perform the energy calc. Enable output of timing info.,2018-01-31 12:20:14,1
10,557c5114,DRR - Cpptraj: Fix cluster keywords for split  add option for printing number of clusters observed per time window.,2014-06-25 10:40:03,1
11,09a8e7a3,DRR - Cpptraj: Split up adding input trajin vs ensemble function  fix function calls.,2015-12-20 10:13:00,1
12,72b892f4,DRR - Cpptraj: Fix netcdf cluster matrix write under openmp. Kills the scaling but doesnt segfault anymore.,2016-06-03 13:23:33,1
13,3077b293,DRR - Cpptraj: Fix binary location logic. Previously some important binary vars would remain unset if CPPTRAJ explicitly specified.,2017-02-28 09:36:43,1
14,4060c183,DRR - Cpptraj: Fix AddVal function so that previous values are actually incremented (fixes solvent hbond lifetime calculation bug),2014-05-07 13:40:12,1
15,435b7813,DRR - Cpptraj: Fix up variable/function names in ClusterNode to better reflect what they represent/do (dont conflate best representative frame with centroid).,2014-08-18 09:46:21,1
16,30d83c77,DRR - Cpptraj: Fix up mask trajectory output so traj is only initialized once. Remove obsolete function from Trajout_Single.,2016-01-19 11:27:49,1
17,e4f1a0d3,DRR - Cpptraj: Fix bug in projection of dihedral covariance that led to incorrect results/memory errors. Update internal help text.,2014-06-11 09:00:48,1
18,7d434368,DRR - Cpptraj: avg command  Fix up output formatting some more  use data file list  add option to not print header.,2015-04-13 11:05:30,1
19,cb8ffe6d,DRR - Cpptraj: Fix wrong VID for indices (doesnt matter for release since indices info not present),2014-05-30 13:38:14,1
20,cdaf2d06,DRR - Cpptraj: Start reworking Command. Fix location of enumerated type RetType in Cpptraj.,2015-12-10 10:54:51,1
21,d17783f4,DRR - Cpptraj: Fix nastruct sync. Use less than in rank loop as a sanity check. Use Darray typedef for allocation.,2016-01-07 14:58:36,1
22,945a7863,DRR - Cpptraj: Fix reading of CONECT records when there is leading whitespace in number and no space between consecutive numbers. In Topology::AddBonds  add check for out-of-range atom #s.,2015-10-14 08:58:40,1
