,hash,message,time,buggy
0,80cc11556,fixed bug in lattice.py  added unit test to check behavior,2016-09-13 11:34:49,1
1,22b12c69b,fixed bug in constraint_ellipsoid updater context -> hoomd.context,2016-06-02 17:06:57,1
2,da47e6f18,fixed bug in constraint_ellipsoid updater context -> hoomd.context,2016-06-02 17:06:35,1
3,7df997c24,Fixed bug in group.rigid()/group.nonrigid() python interface,2015-01-30 18:18:42,1
4,713e552b5,Fixed a bug in mass license editing (should be fixup'd into previous commit),2016-05-31 17:23:12,1
5,6d003bdb3,Add unit test and bug fixes for adding new particle types,2015-07-31 10:00:20,1
6,9dd294709,Fixed display bug in GPU info message,2013-12-03 19:58:40,1
7,d62269182,Add balanced domain decomposition to python module and assorted bug fixes,2015-08-14 17:31:06,1
8,b1b25a0d7,Fixed bug in group.rigid()/group.nonrigid() python interface,2015-01-30 18:18:42,1
9,87824a338,Fixed bug (group communication not working with MPI_CUDA),2014-02-01 18:23:56,1
10,694731543,Use the latest upp11 with bug fixes,2017-08-22 09:39:05,1
11,0fef4ad99,Fixed a bug for DEM geometry accounting of single-face shapes,2016-05-26 08:49:13,1
12,20d252c2d,regular 2D diffusion added  and fixed a bug with active force magnitude being counted twice,2015-12-09 14:04:44,1
13,19086ecbe,fixed bug in MSD analyzer for MPI runs,2013-12-17 16:13:40,1
14,26e19fbb1,Fixed bug in MPI simulations: ghost fields not communicated correctly for bonds,2014-03-31 14:34:25,1
15,0803f6741,Fixed a bug in dem.utils.convexHull for large shapes,2016-05-27 08:54:44,1
16,a1d9948e8,Fixed bug where garbage collector doesn't clean up all objects in MPI NVT simulations,2014-01-19 21:21:17,1
17,12370dafe,Fixed bug with triclinic+MPI: cell list was not correctly padded,2014-04-23 01:32:59,1
18,68191d505,Fixed bug - ParticleData::setPosition() not working correctly,2013-12-17 00:30:10,1
19,c75b792e9,Fixed bug: triclinic not working correctly with MPI,2014-04-20 07:15:09,1
20,6c9b31928,Fixed bug (2D pressure tensor calculation wrong),2013-12-13 16:17:39,1
21,7026ba99e,Fixed NVTMTKGPU running part of step one twice (merge bug),2015-10-22 14:25:17,1
22,32f5f39b5,Fixed a bug where integrate.brownian gave the same x y  and z velocity components,2016-03-10 18:44:16,1
23,3dff74255,Fixed a bug where integrate.brownian gave the same x y  and z velocity components,2016-03-10 18:44:16,1
24,65f1b3295,Fixed bug in bond force creation for bond.fene in MPI,2014-03-31 14:34:03,1
