,hash,message,time,buggy
0,566effc,account for new fix halt properly in PDF and online docs,2016-10-19T09:08:20,1.0
1,9e85b31,molecule maxspecial value corrected when specials autogenerated,2017-08-17 21:39:25,1.0
2,d1356c1,Made ndof dynamic for temperature fixes and computes,2018-04-03 15:07:04,1.0
3,1dc78a7,USER-DPD: correct off-by-one errors in PairMultiLucyRX::coeff(),2017-02-28T17:45:21,1.0
4,7a593c2,USER-DPD: correct off-by-one errors in PairTableRX::coeff(),2017-02-28T14:25:03,1.0
5,2988508.0,correct indexing bug in pair style lj/long/tip4p/long,2017-06-20T17:53:45,1.0
6,2988508.0,correct indexing bug in pair style lj/long/tip4p/long,2017-06-20T17:53:45,1.0
7,2988508.0,correct accelerator flags for dpd styles in pair style overview,2017-06-20T17:53:45,1.0
8,2988508.0,corrected the fix_neb documentation,2017-06-20T17:53:45,1.0
9,230b29e,USER-DPD: bugfix for an array that changed length in the non-kokkos version.,2016-11-19 11:47:12,1.0
10,06c8e95,USER-DPD: bugfix for npair_half_bin_newton_ssa when bonds are involved. Only locals have valid special[] arrays  so when finding neighbors of ghosts  we have to swap the arguments to find_special().,2017-06-06 14:20:54,1.0
11,b418b46,USER-DPD: Bugfix for fix_rx and fix_eos_table_rx to handle restart files. Patch by Jim Larentzos.  Applied by Tim Mattox.,2017-03-26 23:07:48,1.0
12,0cd3f0c,USER-DPD Bugfix: reset_dt() is not called when I thought it should be called. Move the calculation of dtsqrt inside FixShardlow::initial_integrate(),2017-03-17 19:11:39,1.0
13,fed629c,Corrected formula for case lx != ly,2016-12-15 17:10:13,1.0
14,559637f,propagate global package installation bugfix to explicit package scripts,2016-10-11T16:11:29,1.0
15,cf26690,bugfix for virial tally for improper style umbrella from Steven Vandenbrande (U Gent),2016-04-12T14:56:22,1.0
16,d635742,bugfix for compute pressure/grem: must make a copy of argument strings,2017-04-07 15:29:56,1.0
17,4921dc1,incorporate bugfix and cleanup from lammps-icms and upstream,2016-10-06T10:47:08,1.0
18,09544d0,bugfix for virial tally for improper style umbrella from Steven Vandenbrande (U Gent),2016-11-13 19:19:52,1.0
19,e104585,USER-DPD bugfix: Properly initialize the local temperature averaging array.,2016-08-28 06:52:03,1.0
20,887981c,USER-DPD bugfix: Properly initialize the local temperature averaging array.,2016-10-06T10:47:08,1.0
21,4958e11,cleanup and bugfix for compute heat/flux/tally,2016-10-12 15:46:46,1.0
22,495800000000000.0,restrain energy must be incremented. bugfix from robert meissner posted to lammps-users,2016-10-12T15:46:46,1.0
23,e530ba4,bugfix for AngleAngle term in CLASS2 impropers by Ivan A. Strelnikov  ICP RAS,2017-06-12 21:46:00,1.0
24,26d22a4,bugfix for AngleAngle term in CLASS2 impropers by Ivan A. Strelnikov  ICP RAS,2018-04-26 10:02:42,1.0
25,ef079ae,USER-DPD Kokkos: bugfix for the rare case were the SSA ghost processing has more parallelism than for the locals.,2016-10-06T11:27:18,1.0
26,83bcdb6,USER-DPD Kokkos: bugfix  add a misisng line of code in pair_exp6_rx_kokkos.cpp,2016-10-06T11:27:18,1.0
27,268e855,USER-DPD bugfix: make atom_vec_dpd work properly with atom_vec_hybrid. We were sending too much data during pack_comm_hybrid/unpack_comm_hybrid.,2017-03-01 14:14:29,1.0
28,a68f3a9,reaxff corrected bond order bugfix from Tomáš Trnka trnka@scm.com posted on lammps-users,2017-03-19 21:12:52,1.0
29,9a560b9,A tiny bugfix for the reset flag  and a brief explanation of the changes,2017-03-01T15:22:28,1.0
30,b2c8c40,Bugfix: Kronecker term ignored in spline forces.,2018-03-12 12:15:37,1.0
