,hash,message,time,buggy
0,d1ef3ed,Enable EpetraMatrix transposes.  adjoint solves should work now  but I see mixed test results.,2012-09-23T07:48:38,1
1,7fbd987,submitted contributed patches for MeshCommunication::broadcast() and the Xdr class,2005-05-25 16:22:16,1
2,97ceeb8,improved the Parameters class,2004-12-06 04:52:41,1
3,27678be,System::calculate_norm() now works with mixed-dimension meshes,2016-01-12T13:13:51,1
4,6573551.0,Modifications have been made to correct behavior of h-adaptivity with higher order SZABAB and BERNSTEIN:,2013-12-06T12:05:11,1
5,3736db6,latest patches.  Thanks  Martin,2005-09-05 22:48:16,1
6,9606825,Avoid erroneous assert() in METHOD=devel,2007-05-09 23:31:46,1
7,e1234b5,Fixup inadvertent whitespace change,11/20/2015 14:06,1
8,caf29dc,fixup examples to try not to use the global comm,2014-02-10T22:36:58,1
9,58ca137,fixup dtk with new communicators,2013-04-08T11:16:29,1
10,a1b187d,fixup ML detection,2013-01-19T09:51:47,1
11,6d87d35,Fixup CheckpointIO again to make it work properly for serial,2016-09-19T17:10:10,1
12,3770f87,For char and unsigned char parameters  convert to int before printing to avoid displaying unprintable characters.,2017-01-23T13:28:03,1
13,6c0a1ea,avoid vec.clear() not reducing memory usage,2007-08-01T18:56:51,1
14,87db081,Fixup receive_packed_range call,2017-02-02T07:16:47,1
15,316295.0,Hackish workaround for petsc.m4 vs trilinos conflict,2012-04-04T04:07:48,1
16,c439a31,Fixup dof indices test,2016-08-04 10:12:19,1
17,12d6bcf,fixup an unintended full localization of the solution vector during projection,2012-02-27T20:34:34,1
18,4f22896,Bugfixes  robustness & accuracy improvements to compute_numerical_jacobian,2006-06-05 06:36:28,1
19,874c52c,Bugfixes for heterogenous constraints refactor,2013-10-10T16:03:32,1
20,b79fe8f,Use cheapest PatchRecovery compatible patch extension method by default,2007-01-22 23:36:49,1
21,9dbf061,Fixing memory leak when merging existing parameters,2011-11-07T16:38:54,1
22,58c65ca,Fixing peroidic boundary conditions for selected variables,2011-01-21T19:54:11,1
23,137ef48,Patch from myself and Vikram Garg adding support for DiffContext localization of arbitrary system vectors,2012-12-06T23:24:12,1
24,5364.0,Massive whitespace-only patch.,2011-12-05T18:35:33,1
25,ea0ad0b,New patch growth options  shorter matsize calculation,2007-02-13 17:13:01,1
26,06d2a9c,More bugfixes in ProjectFEMSolution. Thanks to Roy for privately pointing out the context.side issue.,2013-01-11T10:01:15,1
27,185360000.0,ExodusII_IO/Nemesis_IO patch for zero IDs,2011-08-09T18:36:24,1
28,61f5cbf,Adding semilocal-only Patch construction options,2011-10-10T03:21:35,1
29,2ae531f,Patch from Boyce Griffith to enable more flexible FE reinit options,2011-05-03T14:28:49,1
30,c8cdda4,Fixing Tet::is_child_on_side(),2012-06-19T22:06:13,1
31,9d0b3ae,rbOOmit change: fixed error in RBEIMConstruction::evaluate_basis_function  previously the vector wasn't being updated correctly,2012-07-12T03:35:26,1
32,a6a5f10,Fixes for PetscMatrix::init() and PetscMatrix::zero() in the not-all-processors-have-DoFs case.,2012-09-12T16:38:05,1
33,afde7bd,"More ""don't try to send NULL to an ostream"" fixes",2012-09-20T19:50:30,1
34,89270f5,Fixing elem_num_map for multiple subdomain cases,2010-11-10T22:22:46,1
35,6358191.0,Fixing is_node_on_{side edge} for Pyramid14.,2013-12-07T21:10:04,1
36,c76468c,fixed the const_elem_iterator  const_node_iterator and friends to have the intended behavior (i.e. treat the returned Elem and Node as const),2004-03-21 03:19:26,1
37,ce692dd,fixed the const_elem_iterator  const_node_iterator and friends to have the intended behavior (i.e. treat the returned Elem and Node as const),2004-03-21 03:54:19,1
38,71d51a2,fixed the const_elem_iterator  const_node_iterator and friends to have the intended behavior (i.e. treat the returned Elem and Node as const),2004-03-21 04:19:30,1
39,df040c9,Patch from Manav Bhatia: templated read datatypes,2013-03-27T14:43:55,1
40,80c03df,Fixed Xdr read support for long doubles in double-precision files,2005-11-30 00:41:40,1
41,ebedbc2,Added basis patch recovery estimator support,2007-01-20 21:17:35,1
42,3f4a244,BoundaryInfo::sync could fail for some partitionings of some mesh types.  Fixed now.,2012-05-08T18:50:09,1
43,36906ac,MeshRefinement messed up the coarsening flags when you dont want level-1 compliance  fixed...,2003-06-03T22:10:07,1
44,34510ea,Fixing Parallel:broadcast of std::set,2011-08-30T19:17:58,1
45,13f2c6d,Add children to fixed positions  in case allgather doesn't receive them in ascending order.,2007-11-12T20:26:13,1
46,4eda33c,Fixes for ParallelMesh redistribution.  Simple --enable-parmesh tests are all passing even with reparititioning turned on!,2012-12-07T03:38:11,1
47,4884b4e,fixing derived file,2014-02-04T13:17:28,1
48,9d27fae,Patch based on Manav Bhatia's type-mixing methods,2013-03-27T14:00:07,1
49,5425863.0,fixed a printing problem in PerfLog  an uninitialized variable in laspack,2003-03-23T02:47:51,1
50,7d9c360,Fixed Example 0 Makefile to link on Mac OS X 10.4  using GCC 4.0.0.,2005-06-10 03:02:37,1
51,7ec45e1,Assorted bugfixes.  We compile again.,2013-09-12T16:58:09,1
52,c11b390,More robust next_free_*_id.  This fixes the recent ParallelMesh examples regressions.,2012-11-14T23:31:29,1
53,79cdaee,fixed the MeshData to write a sensible header with the minimum info necessary for reading,2003-07-12T20:39:30,1
54,e6f291b,Fixes for non-debug Node communication  Nemesis->ParallelMesh regressions,2012-10-23T21:46:46,1
55,9fa5f73,More fixes for the automake->trunk m4 sync up.,2012-04-20T16:02:03,1
56,ea17330,Subset stuff didn't compile with PETSc < 3.0.0  fixed this now.,2010-11-24T07:31:25,1
57,3809dd7,Fixed get_continuity in fe_l2_hierarchic.C  it should return DISCONTINUOUS. Also  change compute_constraints to a NOOP.,2012-02-28T21:20:54,1
58,8a35332,fixed total_weight for non-parallel meshes.  This is needed to work right on processor 0 to broadcast the mesh,2008-02-08 21:49:46,1
59,5f148ed,Fixing infinite while-loop silliness in GetPot.,2013-10-28T13:28:31,1
60,07ca3c9,Add an assert(!p_level) for now  unless it's fixed that could trigger confusing bugs later.,2007-11-08T05:46:48,1
61,01b2132,"finally! -- _FULL_ functionality  now also on HP-UX  my ""favorite"" OS...  fixed xda and unv file I/O",2003-09-06T22:57:12,1
62,72f3175,fixed an error in MeshCommunication::broadcast()  added some PerfLog calls,2005-05-17 18:38:28,1
63,c8ad984,Fixed accidental commit of intermediate files,2006-03-27 20:24:10,1
64,ab05199,Added blank image  fixed entry for Derek,2007-06-18T00:23:55,1
65,6be3d1c,rbOOmit change: Fixed rb_eim_construction for --enable-parmesh,2012-11-01T19:08:17,1
66,33d5e33,Fixed an issue with the MeshRefinement class and its initial_nodes vector. We were not accounting for cases where the Mesh was coarsened  and nodes were deleted.,2005-08-19 20:20:36,1
67,ae64587,Fixed up comments in RB examples for the website,2012-04-07T19:37:55,1
68,11eb1c5,thanks to Steffen: fixed a wrong shift pattern in Legendre polynomials for infinite elements,2003-03-11T19:50:04,1
69,648eb2e,fixed the FrequencySystem.  All systems have been reimplemented.  All the examples work,2003-05-06T21:53:35,1
70,499f0c6,fixed erroneous assert  all examples pass now,2013-01-02T12:12:25,1
71,158055a,Fixed copy constructor to set element children pointers,2006-10-27 18:52:03,1
72,24685.0,fixed silly tests that avoided the use of petsc options,2003-02-26T11:34:36,1
73,d311cec,- fixed SystemBase handling of multiple matrices & vectors for Laspack - fixed FrequencySystem to support either fast solution or solution of large   frequency-dependent linear systems (complex)  updated ex7 accordingly - added axpy for sparse matrices,2003-03-20T11:51:25,1
74,3a89f61,fixed all_second_order() so that boundary conditions get inherited,2003-09-11T19:10:53,1
75,86a15cf,fixed meshtool to include additional headers,2005-06-10 18:12:09,1
76,2cd27cd,Fixed misspelling everywhere of Kelley -> Kelly.  I blame this on a presentation by Mike Anderson where he misspelled it!,2004-05-20 22:56:52,1
77,3d1428d,fixed to work with trilinos make install target,2008-06-13 16:10:20,1
78,b8432d3,More ENABLE_AMR fixes  beginning framework for constraint-based periodic BCs,2007-05-24 23:10:35,1
79,c5a988f,Patch by M. Luthi: change line -> 3line,2007-02-12 13:44:18,1
80,8256040.0,Const correctness patch from Paul Bauman,2012-01-09T19:03:32,1
81,fbb28df,"Martin's ""report bad element ID"" patch",2007-02-13 14:00:53,1
82,c778761,Fixed mismatched perflog start/stop,2008-04-15 12:42:48,1
83,0b9c6f1,Fixed some issues with numerical_jacobian and neighbor-element cross-terms.,2011-07-22T18:42:01,1
84,ecb9219,Bugfixes for p refinement/coarsening,2013-09-19T17:04:15,1
85,4ecf9b8,cast to a std::size_t rather than assume  fixes cygwin,2014-01-21T11:28:53,1
86,4856c5f,Bugfixes for processor_id_type > unsigned int,2013-05-29T13:47:57,1
87,41a81bc,Patch from Martin to print the parameter name in quotes,2006-03-21 22:46:18,1
88,e116738,Bugfixes for p refinement/coarsening,2013-09-19T17:04:15,1
89,fd8177d,Fixes for 64-bit indices builds with SLEPc enabled.,5/31/16 15:23,1
90,b4d80ad,Fixed issue in DEBUG mode where variables were used but not declared.,2008-07-10 13:34:46,1
91,4f2c62d,Fixes for sizeof(dof_id_type) < sizeof(int),2016-10-06 17:06:24,1
92,7ea67da,Fixed incorrect if-statement in boundary_id() and boundary_ids() functions.,2011-04-01T20:27:52,1
93,02bc647,fixed (hacked?) configure for the IBM Power4,2003-03-26 14:26:35,1
94,6a19c7a,fixed (hacked?) configure for the IBM Power4,2003-03-26 14:27:36,1
95,a938c54,Fixes for assorted odd build configurations,5/16/16 16:57,1
96,2de4982,Fixes for vector-enabled FEMContext methods with --enable-complex,2012-07-02T18:28:37,1
97,f1e8e65,RB Change: Fixed EIM truth_solve on hybrid meshes.,2016-02-04T08:59:22,1
98,8e5b078,Library compatibility fixes for Real == long double,2005-10-13 16:36:31,1
99,a872441,Fixed one line for proper .xda output.,2004-11-07 18:26:44,1
100,f3f099a,Fixes for --disable-mpi  Using Parallel:: functions where convenient,2007-11-29 22:29:50,1
101,0a7b376,fixed shared library linking on the IBM,2003-03-25 15:19:02,1
102,996af2c,Fixes in make_links_to_me_remote  assert valid which_neighbor_am_i,2007-11-11T08:22:13,1
103,e964ad0,Misc fixes suggested on the original PR.,2016-05-23 15:12:50,1
104,bee399b,Jed Brown's updated ISCreateLibMesh patch.,2011-03-24T16:24:13,1
105,1f094f7,fixes for the Altix with Intel/icc v8.1,2004-10-14 22:56:09,1
106,6600c6a,Fixes for second derivative support with Number==Complex,2006-10-12 19:20:22,1
107,b3cb54f,fixed (hacked?) configure for the IBM Power4,2003-03-26 14:18:35,1
108,7a72b9e,Set fixed unique_id values in mesh extrusion,2017-03-07T15:01:03,1
109,911a8fc,fixed an error in the Laspack csr implementation  no longer zero the system matrix before it is closed in the NewmarkSystem,2004-10-20 21:42:34,1
110,d35058a,reduced_basis --disable-default-comm-world fixes,2013-04-09T10:31:00,1
111,f157d0c,Patch from Roman Vetter for 1D support in OFF I/O,2012-09-20T14:27:55,1
112,b20569f,fixed configure for gcc-3.3 and gcc-3.4,2003-05-28T03:30:41,1
113,22cedbb,Fixed to handle 1D meshes  use component_scale terms,2006-10-20 20:31:22,1
114,248c455,fixed .cvsignore for example 12,2003-09-02T18:04:17,1
115,5d323db,Bugfixes - UniformRefinementEstimator seems to work now,2006-06-12 21:51:14,1
116,41fe4b0,Fixed memory leak introduced in PR #773,2016-01-26T19:32:13,1
117,1df0ac0,Fixed boundary condition IDs in reduced_basis_ex6,2012-07-14T02:41:35,1
