,hash,message,time,buggy
0,1a0943c,Added exception test for units.py (part of #597),2016-03-30T18:55:57,1.0
1,e3a6bf5,document (and test) setting DX array type (#1725),2017-12-19 02:34:27,1.0
2,46cc08f,Enable more pylint warnings (#1302),2017-04-13T12:11:37,1.0
3,9085e7b,run pylint on python 3.6 (#1589),2017-08-16 18:43:26,1.0
4,82e100e,The NamedStream class now has the required __fspath__ method (#1504),2017-07-17 20:42:38,1.0
5,2734036.0,resolved conflicts when merging PR #388,2015-08-09T16:44:50,1.0
6,2c47978,Changed dt to include step in Universe.transfer_to_memory() (#1321),2017-04-27T02:18:43,1.0
7,ea608e8,Make topology pass tests in python 3 (#1436),2017-06-26 07:27:35,1.0
8,ff7f4d9,Refs #1731 resolve conflicts,2018-01-12 17:42:19,1.0
9,134199e,fixup DCD sphinx error,2017-06-25 17:15:14,1.0
10,412584c,Tests can now detect memleaks on a test-by-test basis (closes #323),2015-06-22T14:18:31,1.0
11,19ea07b,Added 'global' selction keyword (closes #268) and deprecation warning for 'fullgroup'.,2015-07-11T17:56:15,1.0
12,18aefe2,Removed AtomGroup.ts caching (closes #606).,1/5/16 15:20,1.0
13,185a084,Closes Issues #306 and #307,2015-07-13T15:46:32,1.0
14,1bf2db0,netCDF tests now skipped if library missing (closes #124),10/10/15 19:41,1.0
15,c27ace3,Port topology module (#1420),2017-06-24 16:19:18,1.0
16,a21bf73,PBC Amber test cases - PBC Amber trajectory (provided by Ranjit Vijayan) - various fixes to bugs uncovered by testcases - added functionality to the FORTRANReader class - more Amber formatted TRJ tests - example conversion Amber -> DCD,2011-02-02T13:06:18,1.0
17,a65643a,Garbage collection of universes before AtomGroup unpickling (closes #487),10/18/15 23:55,1.0
18,01bd066,Port coordinates module (#1414),2017-06-24 16:20:13,1.0
19,319e53c,Summary: patch to resolve issue 43--whitespace is no longer required around the parentheses in selectAtoms strings. In module MDAnalysis/core/Selection.py and class SelectionParser  the method parse(self selectstr) now adds bounding whitespace around the input string so the parser can handle a lack of whitespace. Method __consume_token(self) in the same class has also been streamlined to incorporate the built-in pop() method rather than the more verbose alternative in place. The changes pass the unit test introduced in r456 and the enhancement has been added to the CHANGELOG.,2010-10-03T17:28:45,1.0
20,86273c6,Small fixes/changes:  - Added future division and six.range to test_psa.py  - Separated pairs analysis (_run_pairs_analysis) from _run  moved plotting before  - Adding a couple distance matrix checks to PSAnalysis methods  - PSAnalysis.cluster now uses generated distance matrix D by default    and checks for proper dist matrix format if dist_mat kwarg is specified  - updated docstring for PSAnalysis.cluster,2017-07-19 12:28:03,1.0
21,1177725,Completed CHANGELOG update for recent ten2eleven changes. Fixes #470.,10/20/15 15:06,1.0
22,49177fd,TST: Added MDAnalysisTests to the asv dependency matrix along with the appropriate conda channel. When combined with modifications to our fork for asv this fixes #1577. (#1580),2017-09-28 17:19:39,1.0
23,2c5c85f,dcd-to-xtc conversion working - added example script dcd2xtc.py - hacked a few fixes into the xdr writer to substitute missing parameters   (maybe need to do something similar of dcd writer...) - not well tested,2010-08-22T06:36:38,1.0
24,e42c9c2,MDAnalysis now correctly writes float32 data for time and coordinates fields of ncdf files. Fixes #518,11/12/15 13:54,1.0
25,f351475,Added tests for topology string types with various formats. Fixes #1336. (#1518),2017-07-18 13:56:43,1.0
26,8826b5e,Fixes segid from TPR parser on python 3 (#1521),2017-07-19 19:05:15,1.0
27,fa564fe,MANIFEST fixes: add *.c files to distribution  also make sure that the html docs are included  + some cleanup,2011-03-17T12:44:57,1.0
28,680fdbd,Patched argument type checking logic in function dist_mat_to_vec()  and corresponding unit test is now more thorough (checks the specific error message string). Fixes #1498. (#1500),2017-07-17 17:11:18,1.0
29,a2deb06,Added doc/html/ to .gitignore. Fixes #491.,10/19/15 15:14,1.0
30,1d9fd02,fixes to distances test so that it runs with deprecated code removed,2010-10-12T01:10:24,1.0
31,283c617,TST: Added a test for segid str type in test_str_types(). Fixes #1523. (#1528),2017-07-19 12:12:18,1.0
32,07a1f30,fixes DCD writer: wrote wrong unitcell,2012-10-15T15:02:48,1.0
33,fd50fb7,Fixes for TRZWriter when handling non TRZ Timestep,2015-06-15T11:06:37,1.0
34,894f85e,LeafletFinder: removed deprecated atoms() method and some reST fixes,2011-04-19T20:06:03,1.0
35,543853e,Fixes hyperlinks to external resources in docs for MDAnalysis.coordinates.PQR (#1836),2018-03-19T04:37:46,1.0
36,ab5e9e1,release 0.7.4 (fixes  enhancements and data files moved into separate package MDAnalysisTestData-0.7.4),2011-09-07T21:55:49,1.0
37,d4bc077,Fixes #434: trying to write empty AtomGroup gives clear message.,2015-09-13T17:47:02,1.0
38,566f3ee,Added the 'same ... as' selection keyword (Fixes #217),2015-04-29 02:49:02,1.0
39,f2a497b,release 0.7.3 (fixes and enhancements and removal of dependency on LAPACK),2011-05-21T23:26:57,1.0
40,1a318b5,minor reST fixes in doc (more to do... volunteers  anyone?),2011-03-21T18:13:26,1.0
41,3e02ee9,Added the 'same ... as' selection keyword (Fixes #217),2015-04-29 02:49:02,1.0
42,bb193df,added improper() with test case  more reST fixes,2011-05-18T16:39:09,1.0
43,7de22de,reST fixes in analysis.density,2/11/14 16:00,1.0
44,e799580,HOLE: fixes that CPOINT was ignored,2015-08-06T13:40:17,1.0
45,394b789,Moved ten2eleven fixes to inside package,2015-09-05T10:24:11,1.0
46,0f2d36e,hbond analysis: fixes and new feature: start:stop:step,2012-05-07T23:09:13,1.0
47,318ec85,fixes rms.RMSD: selections are now applied to atomgroup itself,2017-08-30 01:35:41,1.0
48,5d67a2b,single frame reader fixes,2012-06-04T19:08:34,1.0
49,cf97976,Fixes incompatibility of LeafletFinder with newer numpys (closes #533),11/11/15 17:35,1.0
50,842210f,UNSTABLE: fixes in HBond (at least now it runs...),2008-08-23 12:49:35,1.0
51,987a412,fixes/enhancements for analysis.align,2015-05-20 18:05:58,1.0
52,acfa56a,reST formatting fixes,2018-02-21T15:33:57,1.0
53,c707706,more reST fixes in analysis.psa,2015-05-22 12:27:09,1.0
54,642a6ce,Nuclinfo test fixes,2012-08-04T11:51:45,1.0
55,a364eef,Fixes to lammps data parser,12/7/14 20:33,1.0
56,7078b8b,HydrogenBondAnalysis checks selections (fixes #296),2015-06-11T18:43:02,1.0
57,9b2817d,reST fixes,2015-07-24T00:01:19,1.0
58,4a3bdd1,reST fixes throughout,2015-06-23T03:17:46,1.0
59,acfdbb3,helanal: fixes and test case,1/6/16 18:51,1.0
60,b76d506,Fixes parallel builds in travis. nose>=1.3.7 now required.,2015-07-26T01:09:13,1.0
61,30b11a0,Fixes nose call that caused coverage misreporting (#341),2015-07-09T17:52:28,1.0
