,Document Title,Abstract,time,label
0,2473699d,Merge pull request #20 from wpoely86/eigendir,1540317256.6932142,1
1,045495c2,Merge pull request #99 from robertodr/format-code,1540317238.009293,1
2,7fa10e7b,Merge pull request #5 from robertodr/master,1540317230.063832,1
3,e9aef847,Green's function are now used only in system matrix construction,1540317224.879363,1
4,07ccdd3e,Derivative order can now be given from input. Lacks the possibility of giving the choice of using the analytic GF derivative from input,1540317220.599043,1
5,85840475,Solved issue with make -jN. Parallel make now works fine.,1540317215.368734,1
6,b93dce58,added scaling Factor in WaveletCavity and adapted the calculation of asc in c6h6,1540317213.297038,1
7,ecb669ab,Merge pull request #98 from robertodr/build-with-ninja,1540317208.222375,1
8,414cc455,String passing for input works with DIRAC. Yuppie  ),1540317186.123178,1
9,9b4ae390,Convert internal solvent probe radius from angstrom to au. Closes bug #447,1540317180.467536,1
10,a3bc648c,1. added unit tests for overloaded operators in surface function class  2. removerd CavityOfSpheres class. This extra layer of indirection did more harm than good.,1540317134.790231,1
11,a38bf478,Fixed gpopen/gpclose problem Careful with common blocks: when compiling two libraries that use a common block with the same name they will then share the same memory.,1540317131.676686,1
12,69f814bf,Symmetric cavity generator finally FULLY works.,1540317080.4234948,1
13,7ca96a62,Merge pull request #96 from robertodr/restart-cavity,1540317064.308827,1
14,60608b6e,Work in progress to remove template according to Ville's suggestion: 1) GreensFunctionInterface without template done 2) Template from IEFSolver and WEMSolver class need to be removed 3) Input script with derivative option fixed 4) Comp diag element should be moved to the various GF classes (much cleaner...),1540317059.36651,1
15,46f0d40e,Polishing cavity classes.,1540317053.3680391,1
16,dae96505,Correct inconsistency in mpl::vector and index assigned to Tanh profile policy,1540317039.984102,1
17,784141bc,Correct form of diagonal of D operator for diffuse interface,1540317032.262953,1
18,f529c9fc,Merge branch 'wavelet-cavity' into devel,1540317024.725058,1
19,1221dfaa,Super big polishing commit. The order of includes IS IMPORTANT  I will document in the programmers' manual how to do it properly. The coupling between wavelet cavity and wavelet solver (issue 368) MUST be solved.,1540316975.370751,1
20,a3628362,Merge branch 'wavelet-cavity' of repo.ctcc.no:pcmsolver into wavelet-cavity,1540316964.126389,1
21,5d3b2dfa,uploaded wavelet cavity to be sent to the wem solver,1540316957.817034,1
22,e4d6b342,Disable compilation of unit tests.,1540316941.726342,1
23,2c429e13,Move some functions around. Seems to marginally speed up compilation...,1540316939.79169,1
24,ec25bb58,compilied with Wavelet Cavity included,1540316935.670614,1
25,a0a90754,Still trying to get coloured cavity.,1540316933.2689,1
26,57f4303e,Found and solved a bug when requesting Explicit initialization of the spheres list.,1540316921.812753,1
27,86962e61,Correct use of nonequilibrium solver,1540316918.317847,1
28,2c1c3585,debugging wavelet solver,1540316915.051092,1
29,d2aeff96,Mods by Andy Simmonett to correct kt/kt name conflicts.,1540316907.243271,1
30,fd9bac19,Correct the implementation of Input as a Singleton. Trying to recover the work I lost on the interface.,1540316904.666655,1
31,0dd01567,Wavelet cavity generator cannot handle one single sphere. Investigating this bug.,1540316902.317107,1
32,a7fd22a1,pow(int  int) is not an ammissible overload before C++11. Correct.,1540316900.324612,1
