,hash,message,time,buggy
0,5669060c,Fix and tidy up the copy of external in build.sh,2015-05-31 00:34:00,1
1,6f1be74a,Fix signal handling after calling lpsolve,2017-03-09 18:43:30,1
2,4e683808,Fix isEquivalent and isSpecificCaseOf functions in groupAtoms and atoms.,2014-09-11 13:21:25,1
3,9e58878e,Fix matchNodeToChild special case with LogicOr,2016-05-31 19:33:18,1
4,f4614f36,Fix mutable constructor in find_shortest_path in rmgpy.molecule.pathfinder,2016-06-16 17:32:52,1
5,1d7f3ce8,Fix mutable constructors in ObservablesTestCase.__init__,2016-06-16 17:28:55,1
6,de7bb2c7,Minor fix to KineticsFamily.saveGroups for shortDesc and longDesc,2012-08-24 12:20:14,1
7,2f05cffb,Fix the rmgpy getPath method so the test can find the testing folder,2014-06-20 11:49:52,1
8,9c321dd4,Quick and dirty fix for #177 for Mopac parsing.,2014-01-31 15:12:21,1
9,160ad1b5,Fix up for reading in chemkin dup reactions,2015-01-30 20:17:53,1
10,ded726a3,Fix to add labels to libraries in loadOld,2015-03-10 10:28:32,1
11,907d5159,Fix Tlist error when fitting Arrhenius,2017-11-22 19:00:38,1
12,be761d99,Fix mutable constructor in rmgpy.molecule.inchiparsingTest,2016-06-16 17:33:06,1
13,7b25cf5f,Fix to previous commit 80e9759 for checking thermoClass in processThermoData.,2014-11-19 16:29:55,1
14,007d45a3,Fix unit test to ensure that thermo comes from GAV,2017-08-18 12:06:04,1
15,0a26e533,fix mainTest to account for lack of seed thermo libraries,2018-02-27 11:49:13,1
16,597716c1,fix array handling in network.__repr__,2018-02-28 16:01:39,1
17,6ba5d7b7,Fix incorrect variable in _rdkit_translator,2018-03-29 15:54:08,1
18,eefa0711,Fix the drawing of some molecules with the incorrect aspect ratio.,2013-08-08 15:03:21,1
19,2224dff5,Fix SimpleReactor to use isobaric model.,2013-03-25 16:13:24,1
20,d49a6279,Fix mutable constructor in Group.__init__,2016-06-16 17:32:08,1
21,c8812291,Fix mutable constructors in Cantera.__init__,2016-06-16 17:28:40,1
22,2b6ff106,Fix charged polyrings formed in thermoTests,2017-11-09 10:39:23,1
23,237bc5f2,Fix parsing error for products in database checking,2014-05-09 10:27:01,1
24,9f521e94,Fix bug in reverse kinetics generation for MultiKinetics from Josh's refactor.,2013-01-08 17:42:27,1
25,a5f44c7e,Fix units of Polarizability (which is in fact Volume) in TransportData,2013-11-22 19:44:06,1
26,84dae4a1,fix windows seed generation,2017-08-03 09:08:43,1
27,2d83f97a,Fix invalid argument in loader.py,2018-02-16 11:50:42,1
28,d43e2446,test collision matrix memory fix,2017-08-09 15:10:07,1
29,e54464f9,fix u-layer of test_CH2O2 case in inchi parsing test,2015-10-26 17:39:15,1
30,6a6cb302,fix pruning for pdep case,2016-04-12 18:16:50,1
31,961ba3d0,Fix problems with getThermoData  getThermoDataFromLibraries  etc.,2012-12-06 14:59:49,1
32,47bb27ab,Fix KineticsFamily.__getAverageKinetics() to work with many expressions.,2012-11-15 15:12:30,1
