,hash,message,time,buggy
0,0900a9b1,resolved sonarcloud code smell: collapsible 'if' statements should be merged,2017-08-29 16:57:47,1
1,1c86e241,resolved sonarcloud code smell: collapsible 'if' statements should be merged,2017-08-29 14:09:23,1
2,993d174c,Catch parser error of OpenSSHConfig,2015-11-16 15:33:54,1
3,748f2418,resolved merge conflicts,2017-06-22 11:46:01,1
4,7cb72a82,merge conflicts resolved,2018-01-25 16:42:44,1
5,94e5d91e,Merged GridEngine updates into master,2018-02-01 17:21:12,1
6,706ad302,Merged fixUnitTestsAndTime,2015-10-07 14:49:56,1
7,184b7318,Improved error detecting in jobs. Automatically delete jobs in error state,2013-06-30 23:20:54,1
8,dccb776d,Corrected exceptions in various classes.,2013-06-04 10:24:54,1
9,6cc06c1e,Merge pull request #205 from NLeSC/feature/gftp-3rdparty-copy,2014-03-15 21:57:46,1
10,58dda4e3,Merge pull request #174 from NLeSC/feature/gridengine-unit-tests,2013-08-12 05:59:55,1
11,26de992e,Merge pull request #376 from NLeSC/feature/webdav-continued,2016-04-21 15:49:08,1
12,a29b00f1,Merge pull request #212 from NLeSC/feature/jglobus-proxy-init,2015-05-26 17:14:55,1
13,b6cdbccd,Merge pull request #196 from NLeSC/feature/daemon-threads,2013-11-05 07:19:01,1
14,6f830336,Merge pull request #194 from NLeSC/feature/gridengine-resource-option,2013-10-22 03:33:05,1
15,35bfd380,Merge pull request #204 from NLeSC/feature/gftp-patch,2014-02-05 14:31:37,1
16,55f8d73a,Merge pull request #37 from NLeSC/feature/ge-job-exitcode,2013-04-12 11:19:50,1
17,58a84b9b,Merge pull request #117 from NLeSC/feature/job-canceled-exception,2013-07-02 01:55:54,1
18,654fb402,Merge pull request #32 from NLeSC/feature/sge-adaptor,2013-04-12 09:58:12,1
19,b7fb6eb3,Merge pull request #69 from NLeSC/feature/java-job-description,2013-05-21 01:19:00,1
20,737ddd96,Merge pull request #137 from NLeSC/feature/license-check,2013-07-04 07:51:09,1
21,134f3009,Merge pull request #153 from NLeSC/feature/one-test-config,2013-07-25 06:41:38,1
22,37ed9b32,Merge pull request #152 from NLeSC/feature/one-test-config,2013-07-25 06:12:12,1
23,6bb63f83,Merge pull request #115 from NLeSC/feature/gridengine-advanced,2013-07-01 08:06:43,1
24,28806ab2,Merge pull request #257 from NLeSC/feature/webdav,2015-08-11 20:57:29,1
25,4b6b34b3,Merge pull request #35 from NLeSC/feature/ssh-adaptor-3,2013-04-12 11:01:38,1
26,de23ca6d,Merge pull request #209 from NLeSC/feature/gftp-3rdparty-copy,2014-05-07 09:01:17,1
27,ab5eb25c,Merge pull request #24 from NLeSC/feature/ssh-adaptor-3,2013-04-12 02:34:46,1
28,76204c49,Merge pull request #25 from NLeSC/feature/ssh-adaptor-3,2013-04-12 02:50:35,1
29,f936b513,Merge pull request #29 from NLeSC/feature/ssh-adaptor-3,2013-04-12 08:05:50,1
30,6d6ba2d9,Merge pull request #31 from NLeSC/feature/ssh-adaptor-3,2013-04-12 09:47:59,1
31,7897e99d,Merge pull request #14 from NLeSC/feature/ssh-adaptor-3,2013-04-11 03:12:50,1
32,3fffa715,Merge pull request #19 from NLeSC/feature/ssh-adaptor-3,2013-04-11 10:19:55,1
33,2c5fb6e9,Merge pull request #158 from NLeSC/feature/scripting-cleanup,2013-07-30 12:15:17,1
34,3d45f6ab,Merge pull request #173 from NLeSC/feature/scripting-tests,2013-08-08 06:06:52,1
35,8bf0155e,Merge pull request #232 from NLeSC/feature/torque,2015-08-11 16:13:36,1
36,90b02923,Merge pull request #56 from NLeSC/feature/root_getparent_null,2013-04-23 06:10:33,1
37,8747f6f1,Merge pull request #231 from NLeSC/feature/sshconfig,2015-08-11 16:10:30,1
38,58dda71f,Merge pull request #58 from NLeSC/feature/test_does_coverage,2013-04-26 05:30:36,1
39,4caa7eb9,Merge pull request #59 from NLeSC/feature/localjob_nostdin,2013-04-27 05:40:47,1
40,81958de6,Merge pull request #34 from NLeSC/feature/recursiveCopyAndDelete,2013-04-12 10:59:26,1
41,30343b28,Merge pull request #224 from NLeSC/feature/ftpadaptor,2015-05-27 10:19:26,1
42,35b0d8c0,Merge pull request #57 from NLeSC/feature/sandbox_copyoption,2013-04-25 11:58:58,1
43,7b0954ea,Merge pull request #16 from NLeSC/feature/test_sandbox_submit_status,2013-04-11 07:28:08,1
44,e36c24fa,Merge pull request #175 from NLeSC/feature/gridengine-unit-tests,2013-08-12 08:30:56,1
45,d324cc7e,Merge pull request #126 from NLeSC/feature/gridengine-complete-jobdescription,2013-07-03 01:36:07,1
46,12bf60ce,Merge pull request #135 from NLeSC/feature/gridengine-parallel-jobs,2013-07-04 06:51:39,1
47,355c4771,Merge pull request #30 from NLeSC/feature/generic_filetest,2013-04-12 09:42:51,1
48,c76cc802,Merge pull request #94 from NLeSC/feature/sandbox_equals,2013-06-05 06:27:16,1
49,50ce47dc,Merge pull request #12 from NLeSC/feature/rename_test_package,2013-04-11 01:47:59,1
50,52b09451,Merge pull request #99 from NLeSC/feature/tostring_tests,2013-06-13 04:52:20,1
51,2137d201,Merge pull request #6 from NLeSC/feature/octopus-exception,2013-04-10 01:31:57,1
52,15406a4e,Merge pull request #201 from NLeSC/feature/slurm-2.6,2014-01-01 06:41:13,1
53,320c12ff,Merge pull request #15 from NLeSC/feature/ssh-adaptor-3,2013-04-11 07:26:46,1
